GS_ID,NAME,SOURCE,GS_SIZE,ORGANISM,DESCRIPTION,LINK,TYPE,MULTI_N,OLAP,COCO_V2,SIMILARITY_SCORE,pvalue,Rank,pFDR
WAG002133,miR-targeted genes in lymphocytes,WikiPathway_2021,485,Homo sapiens,miR-targeted genes in lymphocytes,https://www.wikipathways.org/index.php/Pathway:WP2004,P,1333,157,26.66337642,.0929606459338455160082177756880765818871,5.0882292018525e-46,1,3.724583775756e-43
WAG002628,VEGFA-VEGFR2 signaling pathway,WikiPathway_2021,438,Homo sapiens,VEGFA-VEGFR2 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP3888,P,1333,148,980.8100106,.0944097296592570518610953316632986599369,5.3113665056529e-46,2,3.8826089156323e-43
WAG002134,miR-targeted genes in muscle cell,WikiPathway_2021,398,Homo sapiens,miR-targeted genes in muscle cell,https://www.wikipathways.org/index.php/Pathway:WP2005,P,1333,138,26.09480187,.0945349609099570405071215076064786629933,1.9440600254293e-44,3,1.4191638185634e-41
WAG003066,Endothelin pathway,WikiPathway_2021,194,Homo sapiens,Endothelin pathway,https://www.wikipathways.org/index.php/Pathway:WP4857,P,1333,81,968.3903924,.0988026050641044362022137203936800911188,3.0687499691233e-33,4,2.2371187274909e-30
WAG003212,Malignant pleural mesothelioma,WikiPathway_2021,430,Homo sapiens,Malignant pleural mesothelioma,https://www.wikipathways.org/index.php/Pathway:WP5087,P,1333,127,1643.647427,.0820250317889006820164146323521684759192,5.4030107164667e-33,5,3.9333918015878e-30
WAG002596,MAPK signaling pathway,WikiPathway_2021,246,Homo sapiens,MAPK signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP382,P,1333,91,2353.344169,.0910010376401099214358202488055736097333,2.8895553356767e-32,6,2.100706729037e-29
WAG002718,Neutrophil degranulation,WikiPathway_2021,474,Homo sapiens,Neutrophil degranulation,https://www.wikipathways.org/index.php/Pathway:WP4049,P,1333,130,172.7292014,.0781341653135653016636770919230474959832,3.1450532861011e-30,7,2.2833086857094e-27
WAG003032,PodNet: protein-protein interactions in the podocyte,WikiPathway_2021,301,Homo sapiens,PodNet: protein-protein interactions in the podocyte,https://www.wikipathways.org/index.php/Pathway:WP4755,P,1333,97,843.8242674,.0823857306397978543135239057544108038301,8.5041638930296e-29,8,6.1655188224464e-26
WAG002186,Brain-derived neurotrophic factor (BDNF) signaling pathway,WikiPathway_2021,144,Homo sapiens,Brain-derived neurotrophic factor (BDNF) signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP2380,P,1333,61,2476.639133,.0963246948803296877476620700586463781899,8.077959824635e-26,9,5.8484429130357e-23
WAG002879,EGF/EGFR signaling pathway,WikiPathway_2021,163,Homo sapiens,EGF/EGFR signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP437,P,1333,65,3062.121115,.0920739568299315575206061425272120263421,1.2676051961907e-25,10,9.1647855684588e-23
WAG002131,miR-targeted genes in epithelium,WikiPathway_2021,333,Homo sapiens,miR-targeted genes in epithelium,https://www.wikipathways.org/index.php/Pathway:WP2002,P,1333,97,17.08879779,.0760605064803275402036585794328395842505,4.6498139297338e-25,11,3.3571656572678e-22
WAG002659,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,WikiPathway_2021,303,Homo sapiens,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP3932,P,1333,88,2281.29567,.0743144853904477584687929373850248095349,8.7458537562485e-23,12,6.3057605582552e-20
WAG002393,Focal adhesion,WikiPathway_2021,199,Homo sapiens,Focal adhesion,https://www.wikipathways.org/index.php/Pathway:WP306,P,1333,68,4929.347674,.0811296728116369340827314759032586533986,2.9748468240592e-22,13,2.1418897133226e-19
WAG002973,Fragile X syndrome,WikiPathway_2021,120,Homo sapiens,Fragile X syndrome,https://www.wikipathways.org/index.php/Pathway:WP4549,P,1333,50,857.3023011,.0928730423722076476667461642419906192861,4.6097040134452e-21,14,3.3143771856671e-18
WAG003031,IL-18 signaling pathway,WikiPathway_2021,274,Homo sapiens,IL-18 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP4754,P,1333,80,721.1273768,.0732192706140551105880841149148925737493,5.1437609844681e-21,15,3.6932203868481e-18
WAG003247,Alzheimer's disease,WikiPathway_2021,263,Homo sapiens,Alzheimer's disease,https://www.wikipathways.org/index.php/Pathway:WP5124,P,1333,77,1543.841216,.0728507933258446597315548763001128595468,2.2940479173072e-20,16,1.6448323567092e-17
WAG002513,Class I MHC mediated antigen processing and presentation,WikiPathway_2021,366,Homo sapiens,Class I MHC mediated antigen processing and presentation,https://www.wikipathways.org/index.php/Pathway:WP3577,P,1333,94,2404.470325,.068476472892071840205897163318972752196,3.8029583915605e-20,17,2.7229182083573e-17
WAG002048,Generic transcription pathway,WikiPathway_2021,413,Homo sapiens,Generic transcription pathway,https://www.wikipathways.org/index.php/Pathway:WP1822,P,1333,100,176.8718334,.0664604152247623996489213282476414630898,2.2366361065385e-19,18,1.599194816175e-16
WAG002805,PI3K-Akt signaling pathway,WikiPathway_2021,341,Homo sapiens,PI3K-Akt signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP4172,P,1333,88,2517.238566,.0677006545969216252874918912543492363036,4.1641046013355e-19,19,2.9731706853536e-16
WAG002554,TGF-beta signaling pathway,WikiPathway_2021,132,Homo sapiens,TGF-beta signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP366,P,1333,50,2520.463275,.0852700608943177314164234497171476957446,6.076366770524e-19,20,4.3324495073836e-16
WAG003210,Neuroinflammation and glutamatergic signaling,WikiPathway_2021,140,Homo sapiens,Neuroinflammation and glutamatergic signaling,https://www.wikipathways.org/index.php/Pathway:WP5083,P,1333,51,1248.281118,.0825437525437525437525437525437525437526,1.9355750822545e-18,21,1.3781294585652e-15
WAG002093,Response to elevated platelet cytosolic Ca2+,WikiPathway_2021,114,Homo sapiens,Response to elevated platelet cytosolic Ca2+,https://www.wikipathways.org/index.php/Pathway:WP1903,P,1333,45,1050.481974,.0875351546805946163117717959019686621133,5.1233649904598e-18,22,3.642712508217e-15
WAG002135,miR-targeted genes in squamous cell,WikiPathway_2021,158,Homo sapiens,miR-targeted genes in squamous cell,https://www.wikipathways.org/index.php/Pathway:WP2006,P,1333,54,10.52113359,.0785744445742109944210365552371284059976,5.2788005039073e-18,23,3.7479483577742e-15
WAG002380,Nuclear receptors meta-pathway,WikiPathway_2021,318,Homo sapiens,Nuclear receptors meta-pathway,https://www.wikipathways.org/index.php/Pathway:WP2882,P,1333,82,566.0944592,.06662165028330022032056859154990542231,6.8033943660265e-18,24,4.8236066055128e-15
WAG003294,Sudden infant death syndrome (SIDS) susceptibility pathways,WikiPathway_2021,160,Homo sapiens,Sudden infant death syndrome (SIDS) susceptibility pathways,https://www.wikipathways.org/index.php/Pathway:WP706,P,1333,54,520.3515382,.0777151808938283282099787183731378576496,9.9422780041835e-18,25,7.0391328269619e-15
WAG002732,Interleukin-4 and Interleukin-13 signaling,WikiPathway_2021,107,Homo sapiens,Interleukin-4 and Interleukin-13 signaling,https://www.wikipathways.org/index.php/Pathway:WP4066,P,1333,43,2929.28819,.0885897381525817561700769404186076618996,1.2547779083121e-17,26,8.8712798117666e-15
WAG002061,L1CAM interactions,WikiPathway_2021,96,Homo sapiens,L1CAM interactions,https://www.wikipathways.org/index.php/Pathway:WP1843,P,1333,40,884.1341834,.0909906676238334529791816223977027997128,3.6881416396168e-17,27,2.6038279975695e-14
WAG003051,Insulin signaling,WikiPathway_2021,160,Homo sapiens,Insulin signaling,https://www.wikipathways.org/index.php/Pathway:WP481,P,1333,53,2421.508732,.0762736406619385342789598108747044917258,4.9357386570239e-17,28,3.4796957532019e-14
WAG002876,Ciliary landscape,WikiPathway_2021,215,Homo sapiens,Ciliary landscape,https://www.wikipathways.org/index.php/Pathway:WP4352,P,1333,62,145.0772902,.0692740444231731459525311636608871581787,2.2747313262523e-16,29,1.6014108536817e-13
WAG003276,Senescence and autophagy in cancer,WikiPathway_2021,105,Homo sapiens,Senescence and autophagy in cancer,https://www.wikipathways.org/index.php/Pathway:WP615,P,1333,41,1159.255437,.0859290092917988786152148941735758072037,2.3388569843097e-16,30,1.6442164599697e-13
WAG002731,Clathrin-mediated endocytosis,WikiPathway_2021,111,Homo sapiens,Clathrin-mediated endocytosis,https://www.wikipathways.org/index.php/Pathway:WP4065,P,1333,42,1361.147315,.0836909428512481947596451413245306375078,3.8316674803758e-16,31,2.6898305712238e-13
WAG002996,Measles virus infection,WikiPathway_2021,136,Homo sapiens,Measles virus infection,https://www.wikipathways.org/index.php/Pathway:WP4630,P,1333,47,2577.250256,.0780445226523657896206915814758952013854,4.3409531794392e-16,32,3.0430081787868e-13
WAG002608,Intra-Golgi and retrograde Golgi-to-ER traffic,WikiPathway_2021,178,Homo sapiens,Intra-Golgi and retrograde Golgi-to-ER traffic,https://www.wikipathways.org/index.php/Pathway:WP3842,P,1333,54,544.5798676,.0708460433405735178566231814658331194789,1.7517771183127e-15,33,1.2262439828189e-12
WAG003005,Hepatitis B infection,WikiPathway_2021,152,Homo sapiens,Hepatitis B infection,https://www.wikipathways.org/index.php/Pathway:WP4666,P,1333,49,4008.459331,.0737495952375021794903728796672229556381,2.4226266959414e-15,34,1.693416060463e-12
WAG003238,Network map of SARS-CoV-2 signaling pathway,WikiPathway_2021,226,Homo sapiens,Network map of SARS-CoV-2 signaling pathway,https://www.wikipathways.org/index.php/Pathway:WP5115,P,1333,62,1086.742255,.0664371190117890886421389217453053169595,2.9391288736841e-15,35,2.0515119538315e-12
WAG002063,Integrin-mediated cell adhesion,WikiPathway_2021,103,Homo sapiens,Integrin-mediated cell adhesion,https://www.wikipathways.org/index.php/Pathway:WP185,P,1333,39,3911.521659,.0831797913560465704063200706764581077352,4.1081604330377e-15,36,2.8633878218273e-12
